Particle_ID,Num_Occurrences,Appears_In_Images,Global_X,Global_Y
1,2,"1,2",1434.435916,976.495669
2,2,"1,3",106.006741,1634.580756
3,2,"1,3",772.066220,1397.160858
4,1,"1",945.596275,656.843375
5,1,"1",708.434736,452.713878
6,2,"1,3",12.523204,1224.308400
7,2,"1,2",1498.998164,253.724446
8,4,"1,2,3,4",1248.593838,1171.313495
9,1,"1",417.626863,483.779785
10,2,"1,3",589.577243,1145.016343
11,1,"1",749.762974,933.432784
12,1,"1",384.865291,886.306455
13,2,"1,2",1555.800724,738.018290
14,1,"1",935.826504,342.548793
15,2,"1,3",621.483125,1613.302570
16,2,"1,3",898.930304,1678.685478
17,4,"1,2,3,4",1536.923055,1177.008123
18,1,"1",262.234245,1168.312883
19,1,"1",346.581801,176.074112
20,1,"1",160.489185,659.454866
21,2,"1,3",456.362515,1410.932067
22,1,"1",670.235858,197.758202
23,2,"1,3",1112.620202,1455.882620
24,2,"1,2",1206.796887,166.851081
25,1,"1",108.329480,366.814124
26,2,"1,3",980.658098,1231.931970
27,4,"1,2,3,4",1414.003758,1683.771356
28,1,"1",638.929197,704.057034
29,2,"1,3",369.319906,1694.335725
30,2,"1,2",1793.213025,540.530230
31,2,"1,2",1250.811078,783.177038
32,4,"1,2,3,4",1759.278482,1316.344277
33,1,"1",1000.574151,976.147408
34,4,"1,2,3,4",1669.039631,1619.722360
35,1,"1",71.980912,75.262499
36,2,"1,2",1757.696053,286.575026
37,1,"1",61.441477,945.041677
38,1,"1",1233.416849,464.061816
39,1,"1",925.340037,32.132259
40,1,"1",147.172829,1406.031412
41,2,"1,2",1716.725222,32.447415
42,2,"1,2",1728.573952,999.409933
43,3,"1,3,4",1178.798968,1811.634914
44,4,"1,2,3,4",1423.269703,1412.178465
45,1,"2",1979.490007,154.870384
46,1,"2",1977.103607,791.996366
47,1,"2",2206.922471,654.089300
48,1,"2",2076.810993,391.565414
49,2,"2,4",2064.894668,1428.386067
50,1,"2",2025.325512,1117.726434
51,2,"2,4",2240.341556,1774.859709
52,1,"2",2231.847199,63.960953
53,1,"2",1260.853872,450.044579
54,2,"2,4",1928.327483,1654.229170
55,1,"2",2308.231810,1243.893923
56,2,"2,4",1154.960564,1471.447766
57,1,"2",2250.302567,925.697714
58,1,"2",2301.129355,248.191578
59,1,"3",147.814916,1836.644464
60,1,"3",192.949047,2092.094867
61,2,"3,4",1439.503163,1889.910467
62,1,"3",842.337742,2119.738516
63,1,"3",413.570719,1957.926233
64,2,"3,4",1468.498896,2146.688515
65,1,"3",655.281518,1871.914795
66,2,"3,4",1697.618845,1930.554915
67,1,"3",529.305406,2179.135920
68,2,"3,4",1166.017639,2133.620827
69,2,"3,4",1728.150311,2195.623386
70,1,"3",266.091280,1200.501485
71,1,"4",1936.752473,2154.539414
72,1,"4",2009.994397,1905.248793
73,1,"4",2293.914948,2028.061126
74,1,"4",2147.791512,2266.570720
